249860270,0,8
249880269,13,15
249900269,18,15
249920269,14,10
249940269,12,12
249960269,4,11
249980269,26,21
250000269,10,3
250020269,7,28
250040269,10,15
250060269,11,0
250080269,19,24
250100269,13,11
250120269,11,5
250140269,13,3
250160269,9,12
250180269,22,15
250200269,12,32
250220269,29,19
250240269,29,13
250260269,12,7
250280269,19,23
250300269,14,24
250320269,9,3
250340269,19,13
250360269,21,18
250380269,10,4
250400269,10,19
250420269,13,2
250440269,15,19
250460269,18,14
250480269,19,3
250500269,27,6
250520269,12,6
250540269,14,1
250560269,23,21
250580269,7,26
250600269,4,4
250620269,11,3
250640269,6,9
250660269,21,6
250680269,17,4
250700269,18,4
250720269,27,33
250740269,18,0
250760269,12,21
250780269,6,18
250800269,23,22
250820269,33,8
250840269,27,1
250860269,16,5
250880269,5,20
250900269,8,11
250920269,17,24
250940269,22,26
250960269,18,6
250980269,7,31
251000269,13,4
251020269,21,24
251040269,26,5
251060269,24,23
251080269,17,21
251100269,28,12
251120269,17,4
251140269,30,22
251160269,30,8
251180269,21,2
251200269,11,21
251220269,9,19
251240269,8,28
251260269,15,3
251280269,10,6
251300269,24,8
251320269,9,10
251340269,23,16
251360269,27,7
251380269,18,15
251400269,7,19
251420269,8,10
251440269,12,14
251460269,25,2
251480269,8,38
251500269,9,15
251520269,20,10
251540269,18,17
251560269,10,13
251580269,22,33
251600269,12,4
251620269,4,6
251640269,16,6
251660269,22,11
251680269,28,9
251700269,30,14
251720269,31,6
251740269,14,6
251760269,8,21
251780269,4,18
251800269,23,15
251820269,16,21
251840269,10,0
251860269,18,10
251880269,27,10
251900269,6,12
251920269,15,6
251940269,6,3
251960269,24,14
251980269,24,2
252000269,9,7
252020269,15,23
252040269,7,20
252060269,11,4
252080269,26,9
252100269,21,20
252120269,14,23
252140269,3,11
252160269,24,2
252180269,21,0
252200269,6,9
252220269,17,3
252240269,20,14
252260269,30,9
252280269,5,8
252300269,13,10
252320269,17,8
252340269,13,12
252360269,12,17
252380269,13,2
252400269,7,10
252420269,24,7
252440269,7,19
252460269,1,7
252480269,6,1
252500269,17,3
252520269,31,28
252540269,10,25
252560269,11,5
252580269,11,16
252600269,5,13
252620269,10,8
252640269,14,3
252660269,16,11
252680269,12,7
252700269,17,2
252720269,15,20
252740269,19,3
252760269,16,15
252780269,22,12
252800269,20,12
252820269,21,2
252840269,6,10
252860269,23,15
252880269,12,11
252900269,2,12
252920269,9,28
252940269,11,1
252960269,9,8
252980269,16,2
253000269,14,3
253020269,4,8
253040269,9,9
253060269,28,13
253080269,19,21
253100269,5,20
253120269,16,7
253140269,19,21
253160269,21,19
253180269,19,0
253200269,4,11
253220269,15,16
253240269,4,14
253260269,15,22
253280269,10,3
253300269,1,17
253320269,6,5
253340269,10,11
253365031,0,9
253385031,14,23
253405031,7,2
253425031,22,3
253445031,10,4
253465031,28,1
253485031,5,17
253505031,4,16
253525031,28,9
253545031,10,14
253565031,16,0
253585031,12,27
253605031,15,0
253625031,13,16
253645031,2,3
253665031,21,2
253685031,2,5
253705031,12,19
253725031,6,6
253745031,9,33
253765031,20,25
253785031,12,4
253805031,21,24
253825031,31,0
253845031,19,16
253865031,13,2
253885031,13,23
253905031,6,17
253925031,7,6
253945031,6,10
253965031,9,4
253985031,5,15
254005031,8,14
254025031,13,9
254045031,27,18
254065031,7,11
254085031,21,22
254105031,9,13
254125031,14,16
254145031,12,6
254165031,24,24
254185031,12,0
254205031,2,17
254225031,9,12
254245031,33,33
254265031,13,19
254285031,24,12
254305031,12,16
254325031,12,7
254345031,17,14
254365031,24,19
254385031,14,6
254405031,0,5
254425031,2,5
254445031,26,38
254465031,8,0
254485031,21,0
254505031,18,32
254525031,6,4
254545031,14,6
254565031,17,8
254585031,13,29
254605031,16,0
254625031,29,12
254645031,17,16
254665031,31,20
254685031,16,1
254705031,7,19
254725031,10,4
254745031,13,25
254765031,9,13
254785031,18,12
254805031,3,17
254825031,13,6
254845031,0,8
254865031,8,9
254885031,21,1
254905031,18,10
254925031,20,27
254945031,23,1
254965031,5,0
254985031,11,3
255005031,29,2
255025031,11,0
255045031,15,22
255065031,9,27
255085031,14,3
255105031,6,14
255125031,20,6
255145031,14,12
255165031,7,7
255185031,9,5
255205031,8,0
255225031,10,26
255245031,9,2
255265031,8,12
255285031,13,2
255305031,18,24
255325031,24,2
255345031,11,12
255365031,9,8
255385031,4,19
255405031,12,18
255425031,21,4
255445031,7,29
255465031,16,0
255485031,7,0
255505031,17,6
255525031,32,20
255545031,23,9
255565031,9,3
255585031,23,25
255605031,10,4
255625031,30,3
255645031,22,15
255665031,8,1
255685031,9,10
255705031,7,2
255725031,12,16
255745031,24,1
255765031,14,7
255785031,22,21
255805031,5,15
255825031,13,13
255845031,3,4
255865031,13,2
255885031,11,17
255905031,10,8
255925031,18,13
255945031,25,28
255965031,8,9
255985031,7,2
256005031,9,4
256025031,10,12
256045031,14,13
256065031,4,1
256085031,9,36
256105031,4,15
256125031,25,18
256145031,9,4
256165031,4,6
256185031,5,19
256205031,4,0
256225031,13,38
256245031,5,0
256265031,16,13
256285031,13,13
256305031,13,37
256325031,18,1
256345031,14,15
256365031,18,24
256385031,29,15
256405031,9,10
256425031,13,10
256445031,15,16
256465031,16,26
256485031,14,17
256505031,12,39
256525031,24,20
256545031,11,15
256565031,14,19
256585031,10,12
256605031,5,26
256625031,5,1
256645031,15,11
256665031,12,13
256685031,21,14
256705031,9,18
256725031,13,14
256745031,16,8
256765031,5,5
256785031,3,15
256805031,16,7
256825031,14,18
256845031,11,0
256865031,13,15
256885031,16,10
256905031,25,27
256925031,14,7
256945031,27,5
256965031,21,16
256985031,19,22
257005031,12,15
257025031,24,19
257045031,6,23
257065031,12,22
257085031,7,5
257105031,19,17
257125031,11,20
257145031,14,0
257165031,8,1
257185031,15,16
257205031,8,4
257225031,23,17
257245031,12,4
257265031,16,14
257285031,15,15
257305031,24,9
257325031,17,39
257345031,15,12
257365031,29,10
257385031,28,4
257405031,12,15
257425031,20,18
257445031,24,8
257465031,12,3
257485031,11,35
257505031,16,18
257525031,7,5
257545031,1,6
257565031,18,21
257585031,20,25
257605031,30,16
257625031,29,10
257645031,26,13
257665031,21,28
257685031,44,20
257705031,12,13
257725031,24,13
257745031,7,4
257765031,32,2
257785031,27,7
257805031,14,8
257825031,30,2
257845031,19,18
257865031,14,17
257885031,13,15
257905031,29,12
257925031,31,2
257945031,28,11
257965031,16,15
257985031,3,14
258005031,10,6
258025031,18,2
258045031,7,23
258065031,6,4
258085031,16,1
258105031,18,21
258125031,14,7
258145031,17,1
258165031,14,28
258185031,11,17
258205031,22,18
258225031,4,35
258245031,22,4
258265031,28,0
258285031,5,14
258305031,5,8
258325031,20,23
258345031,12,0
258365031,3,12
258385031,12,13
258405031,6,20
258425031,30,28
258445031,12,0
258465031,28,10
258485031,15,8
258505031,15,2
258525031,27,32
258545031,13,7
258565031,20,14
258585031,8,19
258605031,19,25
258625031,22,10
258645031,16,11
258665031,12,15
258685031,24,0
258705031,11,11
258725031,16,11
258745031,10,12
258765031,4,4
258785031,7,4
258805031,6,21
258825031,14,10
258845031,10,0
258865031,3,8
258885031,8,0
258905031,17,11
258925031,33,5
258945031,11,24
258965031,20,3
258985031,32,0
259005031,13,17
259025031,18,20
259045031,7,12
259065031,16,24
259085031,18,21
259105031,15,20
259125031,32,14
259145031,8,0
259165031,11,22
259185031,13,6
259205031,33,12
259225031,5,14
259245031,14,16
259265031,24,6
259285031,14,0
259305031,15,7
259325031,6,23
259345031,9,6
259365031,11,28
259385031,22,19
259405031,5,11
259425031,8,19
259445031,18,16
259465031,12,27
259485031,16,18
259505031,15,27
259525031,13,5
259545031,10,8
259565031,26,0
259585031,21,9
259605031,17,23
259625031,11,25
259645031,13,10
259665031,5,5
259685031,9,23
259705031,24,1
259725031,26,21
259745031,23,6
259765031,9,3
259785031,8,4
259805031,5,13
259825031,32,28
259845031,20,6
259865031,24,3
259885031,10,3
259905031,9,8
259925031,16,3
259945031,7,6
259965031,19,5
259985031,0,14
260005031,5,18
260025031,4,22
260045031,13,1
260065031,13,0
260085031,1,13
260105031,13,29
260125031,9,14
260145031,14,13
260165031,7,20
260185031,13,4
260205031,20,13
260225031,3,5
260245031,7,4
260265031,9,14
260285031,9,4
260305031,13,0
260325031,6,0
260345031,6,11
260365031,14,1
260385031,10,12
260405031,54,5
260425031,58,4
260445031,61,1
260465031,79,7
260485031,59,25
260505031,70,4
260525031,61,17
260545031,63,0
260565031,71,16
260585031,69,16
260605031,53,7
260625031,48,12
260645031,62,10
260665031,66,13
260685031,58,13
260705031,85,14
260725031,52,12
260745031,75,29
260765031,51,19
260785031,52,23
260805031,55,6
260825031,52,18
260845031,67,3
260865031,79,7
260885031,53,0
260905031,77,13
260925031,59,0
260945031,64,5
260965031,63,2
260985031,78,6
261005031,70,1
261025031,53,3
261045031,52,8
261065031,82,11
261085031,78,19
261105031,54,8
261125031,78,18
261145031,45,15
261165031,66,10
261185031,71,0
261205031,74,3
261225031,64,4
261245031,68,3
261265031,84,7
261285031,67,6
261305031,63,8
261325031,55,6
261345031,57,14
261365031,78,7
261385031,65,3
261405031,84,5
261425031,83,6
261445031,65,11
261465031,51,4
261485031,70,9
261505031,50,4
261525031,52,15
261545031,63,4
261565031,59,2
261585031,50,11
261605031,65,6
261625031,60,0
261645031,61,11
261665031,53,13
261685031,59,21
261705031,71,6
261725031,72,28
261745031,72,0
261765031,67,14
261785031,58,5
261805031,70,1
261825031,74,4
261845031,71,4
261865031,63,1
261885031,70,3
261905031,74,8
261925031,54,23
261945031,83,0
261965031,79,12
261985031,61,7
262005031,80,2
262025031,61,9
262045031,63,15
262065031,78,0
262085031,63,0
262105031,50,24
262125031,59,1
262145031,79,5
262165031,74,1
262185031,69,12
262205031,76,4
262225031,74,6
262245031,75,3
262265031,77,8
262285031,94,23
262305031,79,4
262325031,62,12
262345031,67,14
262365031,79,11
262385031,85,7
262405031,75,15
262425031,58,6
262445031,76,4
262465031,63,19
262485031,77,12
262505031,61,1
262525031,66,0
262545031,59,11
262565031,56,1
262585031,86,12
262605031,80,4
262625031,69,7
262645031,71,0
262665031,71,4
262685031,59,3
262705031,71,1
262725031,70,3
262745031,60,4
262765031,73,1
262785031,81,5
262805031,65,4
262825031,85,8
262845031,73,3
262865031,75,3
262885031,52,24
262905031,66,0
262925031,68,9
262945031,63,10
262965031,68,13
262985031,63,15
263005031,60,1
263025031,79,12
263045031,54,13
263065031,70,0
