1003580544,475,3
1003600544,474,4
1003620544,472,1
1003640544,474,2
1003660544,491,5
1003680544,476,4
1003700544,479,1
1003720544,483,1
1003740544,461,1
1003760544,483,1
1003780544,475,1
1003800544,473,0
1003820544,485,4
1003840544,483,1
1003860544,478,5
1003880544,477,0
1003900544,484,3
1003920544,483,5
1003940544,477,4
1003960544,486,7
1003980544,484,3
1004000544,480,4
1004020544,486,5
1004040544,481,3
1004060544,476,1
1004080544,483,0
1004100544,482,2
1004120544,482,0
1004140544,478,2
1004160544,482,3
1004180544,478,1
1004200544,469,4
1004220544,475,3
1004240544,482,4
1004260544,468,1
1004280544,471,5
1004300544,467,2
1004320544,472,1
1004340544,471,5
1004360544,467,4
1004380544,457,2
1004400544,477,7
1004420544,470,5
1004440544,471,0
1004460544,484,2
1004480544,470,2
1004500544,488,0
1004520544,475,0
1004540544,467,1
1004560544,460,6
1004580544,470,4
1004600544,441,3
1004620544,455,0
1004640544,446,0
1004660544,445,5
1004680544,441,2
1004700544,446,3
1004720544,442,0
1004740544,450,1
1004760544,460,2
1004780544,439,6
1004800544,459,3
1004820544,450,3
1004840544,462,2
1004860544,455,3
1004880544,467,4
1004900544,466,5
1004920544,460,5
1004940544,464,4
1004960544,460,3
1004980544,465,4
1005000544,469,1
1005020544,473,1
1005040544,469,4
1005060544,487,0
1005080544,482,3
1005100544,477,0
1005120544,472,4
1005140544,478,4
1005160544,472,4
1005180544,471,3
1005200544,479,3
1005220544,474,0
1005240544,462,4
1005260544,464,1
1005280544,467,4
1005300544,482,3
1005320544,471,1
1005340544,460,4
1005360544,468,2
1005380544,473,4
1005400544,461,0
1005420544,464,0
1005440544,476,1
1005460544,469,6
1005480544,472,4
1005500544,478,0
1005520544,477,3
1005540544,471,2
1005560544,462,3
1005580544,481,2
1005600544,469,4
1005620544,465,1
1005640544,482,2
1005660544,470,3
1005680544,466,5
1005700544,469,0
1005720544,464,3
1005740544,469,1
1005760544,458,0
1005780544,476,3
1005800544,467,1
1005820544,463,3
1005840544,466,2
1005860544,481,6
